Iterations	Ratio	Time
1	0.0	13.65
10001	0.0	31.8
20001	0.214286	51.75
30001	0.285714	65.12
40001	0.357143	98.55
50001	0.357143	99.08
60001	0.357143	138.61
70001	0.357143	161.18
80001	0.5	170.71
90001	0.428571	181.31
100001	0.428571	190.0
110001	0.428571	220.08
120001	0.571429	266.36
130001	0.428571	293.38
140001	0.428571	360.42
150001	0.571429	407.74
160001	0.571429	301.39
170001	0.5	339.19
175001	0.357143	372.58
180001	0.5	354.12
190001	0.428571	360.46
195001	0.5	383.12
200001	0.714286	425.43
205001	0.5	460.52
210001	0.571429	434.36
215001	0.428571	436.66
220001	0.428571	423.9
225001	0.428571	432.03
230001	0.5	412.38
235001	0.571429	447.95
240001	0.785714	475.5
245001	0.642857	439.68
250001	0.571429	468.65
255001	0.428571	497.11
260001	0.642857	454.1
265001	0.428571	470.55
270001	0.571429	488.83
280001	0.571429	510.55
290001	0.642857	515.06
300001	0.5	533.89
310001	0.642857	581.44
320001	0.428571	577.51
330001	0.642857	596.91
340001	0.714286	602.06
350001	0.428571	629.05
